title,author,tag,series,isbn
Adiós al dolor : una guía práctica para vivir bien con dolor crónico ,"Miranda, Helena",616 Mir,Salud natural,9788418118173
Permiso para quejarse : lo que el dolor cuenta de ti ,"Montero Homs, Jordi",616 Mon,,9788434425217
El Emperador de todos los males : una biografía del cáncer ,"Mukherjee, Siddartha",616 Muk,Pensamiento (Taurus),9788430606450
Nuevo manual Merck de información médica general , ,616 Nue,,9788449445712 (o.c)
Nuevo manual Merck de información médica general , ,616 Nue,,9788449445712 (o.c)
Nuevo manual Merck de información médica general , ,616 Nue,,9788449445712 (o.c)
Ortobionomía : camino hacia el autocuidado : técnicas sencillas para aliviar el dolor y aumentar el bienestar ,"Overmyer, Luann",616 Ove,,9788499101682
Manual para entender la alergia : consejos para mejorar la calidad de vida ,"Parisi, Claudio A. S.",616 Par,,9788416737109
Enfermedades raras ,"Posada de la Paz, Manuel",616 Pos,Más que salud   2,9788490972243
El Dolor crónico : una guía para familiares y pacientes ,"Silver, Julie K.",616 Sil,Cuerpo y salud (Paidós)   75,9788449324673
Aprendiendo a cuidar : una guía para afrontar con eficacia el cuidado de los demás ,"Val, Marta",616 Val,,9788418100208
Volem estar amb tu : consells útils per als familiars i els amics dels malalts de càncer ,"Vidal Boixader, Laura",616 Vid,,9788466415118
El Doctor responde : tu guía médica en casa ,"Gutiérrez Valls, Javier",616(03) Gut,,9788417338329
Colesterol y dieta ,"Clapés, Jaume",616.1 Cla,Clave (Debolsillo),9788499089010
Remedios naturales para el colesterol : los alimentos y los hábitos más saludables ,"Fossas, Francesc",616.1 Fos,,9788415541004
Corazón y mente : claves para el bienestar físico y emocional ,"Fuster, Valentí",616.1 Fus,,9788408081050
"Colesterol, triglicéridos y su control ","Lajusticia Bergasa, Ana María",616.1 Laj,,9788441427013
Infarto de miocardio : vivir es poder contarlo ,"Urra Portillo, Javier",616.1 Urr,Sos psicología útil,9788436825725
La Sordera ,"Varela Nieto, Isabel",616.2 Var,¿Qué sabemos de?   30,9788400094676
Cáncer de colon y de recto , ,616.3 Can,Comprender...,9788497353724
Comprender la obesidad ,"Formiguera, Xavier",616.3 For,El Médico en casa (Amat),9788497357418
"Síntomas y enfermedades del intestino : colitis ulcerosa y enfermedad de Crohn, colon irritable, enfermedad celíaca, pólipos y cáncer de colon, incontinencia anal ","Monés Xiol, Joan",616.3 Mon,El Médico en casa (Amat),9788497353427
Enfermedades del esófago y estómago : dificultad al tragar (disfagia) ... ,"Monés Xiol, Joan",616.3 Mon,El Médico en casa (Amat),9788497353113
"Enfermedades del hígado y páncreas : hepatitis agudas,crónicas y cirrosis ... ","Monés Xiol, Joan",616.3 Mon,Comprender...,9788497353120
"¿Por qué me duele la tripa? : reparación digestiva, microbiota, adelgazamiento y salud ","Quintas, Ángela",616.3 Qui,,9788408250920
El Mal aliento (halitosis) : sus causas y su tratamiento ,"Sintes Pros, Jorge",616.3 Sin,Salud y vida natural (Obelisco),9788497778244
El Dolor de barriga : cómo tratar los distintos problemas gastrointestinales ,"Tétau, Max",616.3 Tet,Salud & vitalidad,9788425519581
"La Salud empieza en los intestinos : causas, consecuencias y tratamientos naturales de las enfermedades intestinales en todas las etapas de la vida ","Weinstein-Loison, Scarlett",616.3 Wei,,9788491110149
"Doctor, ¿es la tiroides? : una glándula que regula nuestro cuerpo : alteraciones relacionadas con la tiroides, signos y síntomas, tratamientos eficaces ","Cremer, Gabrielle",616.4 Cre,Salud & vitalidad,9788425519697
Lo Esencial en endocrinología ,"O'Neill, Ronan",616.4 ONe,Cursos  Crash  de Mosby,9788490223161
Una Piel para toda la vida ,"Jaén, Pedro",616.5 Jae,,9788467062182
Sol : fuente de bienestar ,"Máñez, Carlota",616.5 Man,,9788475568126
Psoriasis : ¿por qué se produce? : ¿cómo se manifiesta? : alternativas de tratamiento : el futuro de la psoriasis ,"Peyrí Rey, Jordi",616.5 Pey,Comprender...,9788497353472
"Tu suelo pélvico, ese gran desconocido : descubre cómo puedes cuidarlo durante toda tu vida ","López Álvarez, Raquel",616.6 Lop,,9788448024321
El Cáncer de próstata ,"López Costea, Miguel Ángel",616.6 Lop,Comprender...,9788497353601
Cómo cuidar el suelo pélvico : todo lo que necesitas saber para prevenir y solucionar problemas en cada etapa de tu vida ,"Simpson, Jane",616.6 Sim,Now age,9788417968236
La Fibromialgia : consejos y tratamientos para el bienestar , ,616.7 Fib,Salud y bienestar (Amat),9788497358644
Terapia craneosacral : autoaplicación : ejercicios simples para obtener más energía y salud ,"Groot Landeweer, Gert",616.7 Gro,,9788499102412
El Libro de la espalda ,"Kovacs, Francisco",616.7 Kov,,9788499984827
El Dolor de espalda y las emociones : conocerse para curarse ,"Ponce, David",616.7 Pon,Plataforma actual,9788496981881
Tratamiento natural de la fatiga crónica ,"Ransworth, Timothy",616.7 Ran,Nuevas terapias (Dilema),9788498271942
"Prevenir y curar los problemas de espalda, cuello y hombros de la artritis a la ciática ","Sutcliffe, Jenny",616.7 Sut,,9788415317289
Comprender el ictus (infarto y hemorragia cerebral) ,"Álvarez Sabin, José",616.8 Alv,El Médico en casa (Amat),9788497357012
"El Alzheimer día a día : qué es y cómo se presenta, qué decisiones tomar, cómo cuidar al enfermo, cuidados para el cuidador, guía práctica de actuaciones ","Fernández-Merino, Vicente",616.8 Fer,Jardín verde,9788494052262
Vivir bien sin dolor de cabeza ,"Heraso Aragón, María Isabel",616.8 Her,Objetivo bienestar (Paidós),9788449331534
"Una historia insólita de la neurología : casos reales de trauma, locura y recuperación ","Kean, Sam",616.8 Kea,,9788434431270
Enfermedad de Alzheimer ,"Martín Carrasco, Manuel",616.8 Mar,El Médico en casa (Amat),9788497354042
Vivir bien con miastenia : programa de mejora socioemocional ,"Martín Rivera, Natalia",616.8 Mar,Sos psicología útil,9788436827873
Pensar con el estómago : cómo la relación entre digestión y cerebro afecta a la salud y el estado de ánimo ,"Mayer, Emeran A.",616.8 May,,9788425354915
Migranya : tot el que has de saber si en pateixes , ,616.8 Mig,Inspira (Angle)   41,9788416139125
Neurología : secretos , ,616.8 Neu,,9788480867559
Cuando era invisible : la increible historia del niño que vivó 12 años atrapado por su cuerpo inmóvil ,"Pistorius, Martin",616.8 Pis,,9788415732143
Más amor y menos ibuprofeno : el dolor de cabeza y las emociones ,"Ponce, David",616.8 Pon,Plataforma actual,9788415750048
Neurología : texto y atlas ,"Rohkamm, Reinhard",616.8 Roh,,9788498352795
"Comunicarse con un Alzheimer próximo : entenderlo, no sentirse culpable, mantener un vínculo ","Rousseau, Thierry",616.8 Rou,,9788497991490
Salud mental y medicina psicológica , ,616.8 Sal,,9786070228018
Mentes lúcidas y longevas ,"Tobeña, Adolf",616.8 Tob,El Espejo y la lámpara (Universitat Autònoma de Barcelona)   4,9788493871772
Adicciones tecnológicas : qué son y cómo tratarlas , ,616.89 Adi,Biblioteca de psicología (Síntesis)   17,9788490770672
El Efecto smartphone : conectarse con sentido ,"Armayones, Manuel",616.89 Arm,Comunicación (Universitat Oberta de Catalunya)   417,9788491162865
"Autismo : cómo intervenir, desde la infancia a la vida adulta ", ,616.89 Aut,"Psicología, psiquiatría, psicoterapia   259",9789501296181
Tomar el control del TDAH en la edad adulta ,"Barkley, Russell A.",616.89 Bar,Con vivencias   23,9788499213811
Autismo y síndrome de Asperger ,"Baron-Cohen, Simon",616.89 Bar,Psicología (Alianza),9788420669410
Trastornos adictivos ,"Becoña Iglesias, Elisardo",616.89 Bec,Psicopatologías,9788490772621
"La Danza de las emociones familiares : terapia emocional sistémica aplicada con niños, niñas y adolescentes  ","Bermejo Boixareu, Mercedes",616.89 Ber,AMAE,9788433029928
La Fortaleza vacía : autismo infantil y el nacimiento del yo ,"Bettelheim, Bruno, 1903-1990",616.89 Bet,Paidós básica,9788449327223
Volver a casa : recuperación y reivindicación del niño interno ,"Bradshaw, John",616.89 Bra,Psicoemocional,9788484455738
Trastorns de l'espectre autista (TEA) : propostes didàctiques per a nens i nenes de 6 a 12 anys ,"Buj Pereda, María José",616.89 Buj,Col·lecció Manuals   72,9788417994785
Guía del bipolar : todo lo que debe saber sobre la enfermedad maníaco-depresiva ,"Burgess, Wes",616.89 Bur,Alternativas (Robinbook),9788499170909
Trastornos alimentarios : guías de psicoeducación y autoayuda ,"Calado Otero, María",616.89 Cal,Manuales prácticos (Pirámide),9788436823523
El Síndrome de Down : una introducción para padres ,"Cunningham, Cliff",616.89 Cun,Guías para padres (Paidós),9788449326103
Supera tu ansiedad : aprende a gestionar con éxito el estrés ,"Díaz, Paula",616.89 Dia,,9788441540682
"Doctor, estoy deprimido : 101 respuestas para conocer la depresión y combatir el sufrimiento del enfermo y su familia ", ,616.89 Doc,,9788497349925
Educar i créixer en salut : el paper de pares i educadors en la prevenció dels trastorns alimentaris , ,616.89 Edu,Vitae (Marge Books),9788492442836
La Superación de los atracones de comida : cómo recuperar el control ,"Fairburn, Christopher G.",616.89 Fai,,9788449333521
Trastorno por déficit de atención e hiperactividad ,"Fedeli, Daniele",616.89 Fed,Proa (Popular)   48,9788478846436
"Claves psicobiológicas, diagnósticas y de intervención en el autismo ","Folch-Schulz, Julia",616.89 Fol,Psicología (Pirámide),9788436838817
El Hombre en busca del sentido último : el análisis existencial y la conciencia espiritual del ser humano ,"Frankl, Viktor E., 1905-1997",616.89 Fra,Paidós contextos,9788449326660
El Lenguaje de los animales : una enriquecedora interpretación desde el autismo ,"Grandin, Temple",616.89 Gra,RBA divulgación,9788490565339
Comprender el autismo : los trastornos del espectro autista y el síndrome de Asperger desde la infancia hasta la edad adulta ,"Greenspan, Stanley I.",616.89 Gre,RBA divulgación,9788490062968
La Razón por la que salto ,"Higashida, Naoki",616.89 Hig,Rocabolsillo,9788499188126
Introducción a la psicopatología y la psiquiatría , ,616.89 Int,,9788445820346
La Timidez : cómo la psiquiatría y la industria farmacéutica han convertido emociones cotidianas en enfermedad ,"Lane, Christopher",616.89 Lan,,9788493804220
"Vivir con el autismo, una experiencia relacional : guía para cuidadores ","Larbán Vera, Juan",616.89 Lar,Con vivencias   24,9788499213378
"Comprender la anorexia, la bulimia y el trastorno por atracón ","Lorán Meler, Mª Eulalia",616.89 Lor,El Médico en casa (Amat),9788497356756
Tecnoestrés : ansiedad y adaptación a las nuevas tecnologías en la era digital ,"Martínez Selva, José María",616.89 Mar,Paidós contextos   205,9788449325311
Todo sobre el autismo : los trastornos del espectro del autista (TEA) : guía completa basada en la ciencia y en la experiencia ,"Martínez Martín, María Ángeles",616.89 Mar,Aula inclusiva,9788494106835
La Vida en orden alfabético : el mundo de las personas con Asperger ,"Martos, Juan",616.89 Mar,,9788491645924
Psicoterapias : escuelas y conceptos básicos ,"Martorell Ypiens, José Luis",616.89 Mar,Psicología (Pirámide),9788436831450
Comprender el trastorno bipolar ,"Martín Carrasco, Manuel",616.89 Mar,El Médico en casa (Amat),9788497357265
Desconecta : la dieta digital para superar la adicción al móvil y hacer un uso adecuado de las nuevas tecnologías ,"Masip, Marc",616.89 Mas,Psicología (Pirámide),9788448024833
Tengo una adicción ,"Molina del Peral, José Antonio",616.89 Mol,SOS psicología útil,9788436825732
Tot és al teu cap : històries reals de malalties imaginàries ,"O'Sullivan, Suzanne",616.89 OSu,Inspira (Angle)   58,9788416139903
Mírame a los ojos : mi vida con síndrome de Asperger ,"Robison, John Elder",616.89 Rob,,9788494740770
"Depresión : ¿qué es?, frecuencia y sus causas, síntomas, diagnóstico y tipos de depresión, alivio y tratamiento ","San Molina, Luis",616.89 San,El Médico en casa (Amat),9788497353458
Una Tribu propia : autismo y asperger : otras maneras de entender el mundo ,"Silberman, Steve",616.89 Sil,,9788434423985
Somos una especie violenta? : la violencia humana explicada desde la biología y la psicopatología , ,616.89 Som,Catálisis,9788447537549
¿Tiene autismo tu bebé? : cómo detectar las primeras señales de autismo en los niños ,"Teitelbaum, Osnat",616.89 Tei,Psicología y pedagogía (Obelisco),9788497778800
Píndoles o Freud : remeis per als neguits de l'ànima ,"Tobeña, Adolf",616.89 Tob,,9788466413701
Vencer la anorexia : el cuerpo como enemigo ,"Toro, Josep",616.89 Tor,Ariel ciencia,9788415750475
Vencer la depresión : descubre el poder de las técnicas del mindfulness , ,616.89 Ven,Divulgación/Autoayuda   260,9788449323294
"La Violencia filio-parental : análisis, evaluación e intervención ", ,616.89 Vio,Psicología Alianza Editorial,9788491816300
"Si creus en mi, et sorprendré : el món es ple de somnis per complir : persegueix el teu ","Vives Font, Anna",616.89 Viv,,9788466418461
Deixar de fumar pot ser divertit ,"Abella i Pons, Francesc",616.892 Abe,La Veu de l'expert   1,9788499758121
"Es fácil dejar de fumar, si sabes cómo ","Carr, Allen",616.892 Car,Espasa práctico,8423935825
"Adolescentes, alcohol y drogas : todo lo que sus hijos quieren y deben saber acerca de las drogas y el alcohol ","Dillon, Paul",616.892 Dil,,9788489778580
"Al acabar este libro decidirás dejar de fumar : la experiencia TESK, The Tobacco escape book ","Guillet, Géraud",616.892 Gui,,9788417720919
L'Imperi del dolor : la història secreta de la dinastia Sackler ,"Keefe, Patrick Radden",616.892 Kee,Astrolabi   8,9788417339739
"Colocados : lo que hay que saber sobre las drogas más consumidas, desde el alcohol hasta el éxtasis ","Kühn, Cynthia",616.892 Kuh,Debate ciencia,9788483069400
¿Beber para crecer? : el consumo de alcohol en los menores de edad : 13 - 17 años ,"Pallarés Gómez, Joan",616.892 Pal,Ensayo (Milenio)   54,9788497435208
Prevención educativa de drogodependencias y otras conductas adictivas , ,616.892 Pre,Psicología (Pirámide),9788436827149
La Prevención de las drogodependencias : los medios de comunicación : cómplices necesarios , ,616.892 Pre,Pensamiento del presente   42,9788492806645
Los Exfumadores somos invencibles ,"Ramon Torrell, Josep M.",616.892 Ram,,9788416306787
Vapeo : más ventajas que inconvenientes ,"Taulés, Silvia",616.892 Tau,Salud y bienestar,9788418114243
Atlas de epidemias : enfermedades mortales y contagiosas desde la peste hasta el virus del Zika ,"Hempel, Sandra",616.9 Hem,,9789463593663
El Paciente ocasional : una historia social del sida ,"Larrazabal, Ibon",616.9 Lar,Atalaya (Península)   418,9788499420929
La Solución autoinmune : prevenir e invertir el espectro de síntomas inflamatorios y enfermedades autoinmunes ,"Myers, Amy",616.9 Mye,,9788441436022
Insectos y hecatombes :  historia natural de la peste y el tifus ,"Sistach, Xavier",616.9 Sis,RBA divulgación,9788490063224 (vol. 1)
Ante todo no hagas daño ,"Marsh, Henry",617 Mar,,9788498387209
Vidas frágiles : historias entre la vida y la muerte de un cardiocirujano en la mesa de operaciones ,"Westaby, Stephen",617 Wes,,9788449334511
Mejora tu vista con la gimnasia de los ojos : de los 40 en adelante : descubre las virtudes del método Bates ,"Ferrario, Giorgio",617.7 Fer,Salud y vida natural (Obelisco),9788416192212
Cuida tus ojos : métodos naturales para ver bien sin gafas ,"París, Carmela",617.7 Par,RBA integral,9788415541660
Yoga para tus ojos : ejercicios para recuperar la visión de manera natural : programa completo con libro de instrucciones y DVD ,"Schneider, Meir",617.7 Sch,Medicina y salud,9788495973771
El Preu de ser mare ,"Bacardit, Júlia",618 Bac,'Apostroph assaig,9788412200584
Mi embarazo y mi parto son míos : guía de derechos para las embarazadas ,"Busquets Gallego, Marta",618 Bus,D-Fracciones   9,9788416828586
Embarazada a los 40 y más allá ,"Calle, María de la",618 Cal,Salud y bienestar,9788417057534
Vivir bien la menopausia : consejos para mantener tu bienestar ,"Clark, Carolyn Chambers",618 Cla,Cuerpo y salud (Paidós)   74,9788449323935
El Concepto  violencia obstétrica  y el debate actual sobre la atención al nacimiento , ,618 Con,Ventana abierta (Tecnos),9788430974283
Embarazo y parto : [guía práctica de salud para la embarazada y el bebé] ,"Dávila, Estela",618 Dav,,9788466228541
"V de vagina : guía completa para la mujer de la A a la Z : todo lo que siempre has querido saber : salud, placer, hormonas y más ","Dweck, Alyssa",618 Dwe,,9788416895380
Els Secrets d'un part feliç : descobreix com ajudar el teu fill a néixer de manera respectuosa i segura ,"Espar, Marta",618 Esp,L'Expert   22,9788497799904
Partos arrebatados : la violencia obstétrica y el mercado de la sumisión femenina ,"García, Eva Margarita",618 Gar,Trincheras,9788412335453
Lactancia materna : preguntas y respuestas ,"González Rodríguez, Carlos",618 Gon,Ser padres (Aguilar),9788403515840
Un Regal per a tota la vida : guia de la lactància materna ,"González Rodríguez, Carlos",618 Gon,Inspira (Angle)   12,9788492758753
9 mesos des de dins : una guia de l'embaràs diferent per descobrir el que sent el teu fill des de les primeres setmanes de vida ,"Gratacós, Eduard",618 Gra,,9788466422673
Guía esencial del embarazo, ,618 Gui,,9788497991414
Bebé en camino : cómo tener un parto positivo y empoderado con hipnoparto ,"Miller, Siobhan",618 Mil,Zenith superfamilias,9788408222408
Qué se puede esperar cuando se está esperando ,"Murkoff, Heidi Eisenberg",618 Mur,,9788497990448
Parir : el poder del parto ,"Olza, Ibone",618 Olz,,9788466662123
Destete : final de una etapa ,"Padró, Alba",618 Pad,,9788418055003
"Somos la leche : dudas, consejos y falsos mitos sobre la lactancia ","Padró, Alba",618 Pad,,9788416895205
Todo lo que nadie te ha contado sobre el posparto : sobrevive física y emocionalmente al cuarto trimestre ,"Pajuelo, Elena",618 Paj,Zenith her,9788408241461
50 cosas que debes saber sobre tu embarazo ,"Peña, Maite",618 Pen,,9788448069988
Cáncer de mama ,"Pérez García, José Manuel",618 Per,El Médico en casa (Amat),9788497356855
Espero un hijo ,"Pernoud, Laurence",618 Per,,9788496669741
El Embarazo : una guía infográfica para toda la familia ,"Plimmer, Claire",618 Pli,,9788494741876
Serem pares ,"Roca, Elisenda",618 Roc,Clave (Debolsillo),9788499894874
La Meva amiga Meno i jo : consells desinhibits per a una menopausa en tota regla ,"Romagosa, Carla",618 Rom,,9788417214449
9 meses con bombo : todos los secretos para sobrevivir durante el embarazo ,"Roney, Carley",618 Ron,,9788425345876
La Revolución de la menstruación ,"Sanz, Xusa",618 San,,9788427048744
Embarazo y parto : todo lo que necesitas saber ,"Santos Leal, Emilio",618 San,,9788441540057
Las Preguntas habituales sobre el embarazo y el parto : con consejos prácticos de comadronas y de ginecólogos ,"Smulders, Beatrijs",618 Smu,,9788497990899
"El Embarazo y el parto : todo lo que has de saber sobre el desarrollo de tu bebé, los cuidados prenatales y el parto ","Steen, Mary",618 Ste,,9788448069001
Vínculos ,"Torras i Rifà, Àngels",618 Tor,Inspiraciones (Integral),9788498676839
La Menopausia : disfruta de una nueva etapa de plenitud ,"Travers, Fabienne",618 Tra,,9788491875512
Masajes durante el embarazo : guía ilustrada de masaje para aliviar las molestias del embarazo ,"Villacieros, Paloma",618 Vil,,9788448068059
40 semanas : crónica de un embarazo ,"Vives, Glòria",618 Viv,Fuera de órbita,9788415357087
"Tu fertilidad : el manual definitivo del control de natalidad, el éxito en el embarazo y la salud reproductiva natural ","Weschler, Toni",618 Wes,Salud y vida natural,9788491115717
Gimnasia para embarazadas : con ejercicios para la recuperación ,"Wessels, Miriam",618 Wes,,9788425519871
El Arte femenino de amamantar ,"Wiessinger, Diane",618 Wie,,9788497991018
El Manual Merck para la salud de las mascotas, ,619 Man,,9788499100722
Los Riesgos de la nanotecnología ,"Bermejo Bermejo, Marta",62 Ber,¿Qué sabemos de?   82,9788400101855 (CSIC)
Introducción a la ingeniería industrial : contexto occidental ,"González Zúñiga, José F. Domingo",62 Gon,,9788426722522
¡Empieza a crear! : una guía para acercar los jóvenes al mundo maker ,"Martin, Danielle",62 Mar,,9788426724489
Gestión de proyectos con Project : bajo el enfoque del PMI ,"Salazar Castañeda, Francisco Manuel",62 Sal,,9788426725783
Nanomecánica ,"Ramos Vega, Daniel",620 Ram,¿Qué sabemos de?   113,9788400106690 (CSIC)
La Nanotecnología : el mundo de las máquinas a escala nanométrica ,"Acosta Jiménez, Antonio José",620.1 Aco,,9788491875086
Átomos y moléculas : nanotecnologías para cambiar el mundo ,"Díaz-Marcos, Jordi",620.1 Dia,Divulgación científica,9788417547486
Centrales de energías renovables : generación eléctrica con energías renovables , ,620.9 Cen,,9788483229972 (Pearson)
Custodiar la Terra : la voluntat d'un canvi ,"Furró Estany, Eduard",620.9 Fur,Transició energètica CMES-Octaedro,9788499218878
La Biomasa y sus aplicaciones energéticas ,"Madrid Vicente, Antonio",620.9 Mad,,9788496709898
Capital fósil : el auge del vapor y las raíces del calentamiento global ,"Malm, Andreas",620.9 Mal,,9788412259490
Energía solar fotovoltaica ,"Méndez Muñiz, Javier María",620.9 Men,,9788492735778
Historia de la energía ,"Navarro Yáñez, Alejandro",620.9 Nav,Colección Divulgación Científica,9788417547516
El Cost de l'energia ,"Riba, Genís",620.9 Rib,Transició energètica CMES-Octaedro,9788499218250
Recursos energéticos y crisis : el fin de 200 años irrepetibles ,"Riba i Romeva, Carles",620.9 Rib,,9788499213705
"La Tercera revolución industrial : cómo el poder lateral está transformando la energía, la economía y el mundo ","Rifkin, Jeremy",620.9 Rif,Estado y sociedad (Paidós)   155,9788449326035
Energías renovables : lo que hay que saber ,"Roldán Viloria, José",620.9 Rol,,9788428333122
Instalaciones solares fotovoltaicas ,"Roldán Viloria, José",620.9 Rol,,9788428332033
Energía : una historia del progreso y desarrollo de la humanidad ,"Sánchez Ron, José Manuel",620.9 San,,9788497859004
El Col·lapse és evitable : la transició energètica del segle XXI (TE21) ,"Sans Rovira, Ramon",620.9 San,,9788499214535
L'Ús de l'energia nuclear (Homo sàpiens?) ,"Martínez Sancho, Vicent",621.039 Mar,Dèdal (Edicions del Bullent)   3,9788499040837
Les Màquines de vapor a Catalunya ,"Bayó i Soler, Conxa",621.1 Bay,Patrimoni industrial. Temes   3,9788423207701
Curso de electricidad general ,"Alcalde San Miguel, Pablo",621.3 Alc,,8428324654
Curso de electricidad general ,"Alcalde San Miguel, Pablo",621.3 Alc,,8428325057 (v.3)
Curso de electricidad general ,"Alcalde San Miguel, Pablo",621.3 Alc,,8428325057 (v.3)
Instalaciones eléctricas básicas : técnico en instalaciones de telecomunicaciones ,"Cantos Serrano, Julián",621.3 Can,Electricidad-electrónica (Paraninfo),9788428340052
Eficiencia en el uso de la energía eléctrica , ,621.3 Efi,,9788426716958
Fórmulas y datos prácticos para electricistas ,"Roldán Viloria, José",621.3 Rol,,9788428339421
Máquinas eléctricas ,"Chapman, Stephen J.",621.31 Cha,,9786071507242
Circuitos eléctricos ,"Fraile Mora, Jesús",621.31 Fra,,9788416228478
Circuitos eléctricos ,"Sanjurjo Navarro, Rafael",621.31 San,,9788415214137
Circuitos eléctricos ,"Svoboda, James A.",621.31 Svo,,9788426723000
La Tecnología láser ,"Cuesta Arranz, Alberto",621.37 Cue,,9788426719133
Reparar (casi) cualquier cosa : cómo arreglar objetos cotidianos con la electrónica y la impresión 3D ,"Aliverti, Paolo",621.38 Ali,,9788426726391
"Electrónica, trucos y secretos : 130 ideas para resolver cualquier problema ","Aliverti, Paolo",621.38 Ali,Made for makers,9788426732224
Electrónica de potencia : principios fundamentales y estructuras básicas ,"Ballester, Eduard",621.38 Bal,,9788426716699
Introducción a Arduino ,"Banzi, Massimo",621.38 Ban,,9788441537446
Electrònica ,"Durán Moyano, José Luis",621.38 Dur,,9788426724007
Iluminación con tecnología LED ,"Gago, Alfonso",621.38 Gag,,9788428333689
Ejercicios prácticos con electrónica : [proyectos de electrónica con Arduino y Raspberry Pi] ,"Monk, Simon",621.38 Mon,,9788426725639
Programación de circuitos electrónicos : iniciación con Arduino ,"Ocaña Rebollo, Gabriel",621.38 Oca,Aula de robótica,9788417946517
Iniciación a Arduino Uno ,"Pareja Aparicio, Miguel",621.38 Par,,9788426725547
Internet de las cosas (IoT) con Arduino : manual práctico ,"Pizarro Peláez, Jesús",621.38 Piz,,9788428341868
Arduino para principiantes : aprendizaje mediante prgramación por bloques para docentes y toda la familia ,"Schernich, Erik",621.38 Sch,,9788426727244
Infraestructuras comunes de telecomunicación en viviendas y edificios ,"Cabezas Pozo, José Damián",621.39 Cab,,9788497326957
Redes inalámbricas ,"Cabezas Granado, Luis Miguel",621.39 Cab,Guía práctica (Anaya Multimedia)   575,9788441528024
Instalaciones de telecomunicaciones ,"Pérez Luna, Antonio",621.39 Per,Electricidad-electrónica (Paraninfo),9788497328685
Pequeña historia de las telecomunicaciones ,"Sánchez Ron, José Manuel",621.39 San,,9788497859400
Infraestructuras de redes de datos y sistemas de telefonía ,"Moro Vallina, Miguel",621.395 Mor,Electricidad-electrónica (Paraninfo),9788497328746
La Nueva radio : manual completo del radiofonista 2.0 ,"Tenorio, Iván",621.396 Ten,,9788426717771
Turbinas y compresores de gas : los motores del siglo XXI ,"Gil García, Gregorio",621.4 Gil,,9788426718952
Energía eólica ,"Méndez Muñiz, Javier María",621.5 Men,,9788493961817
"Tecnología y circuitos de aplicación de neumática, hidráulica y electricidad ","Roldán Viloria, José",621.5 Rol,,9788428333702
Reglamento de seguridad para instalaciones frigoríficas,"Espanya. Ministerio de Industria, Comercio y Turismo",621.56 Esp,,9788496960688
Manual de refrigeración y acondicionamiento de aire ,"Sanguinetti Remusgo, Ernesto",621.56 San,,9788426728166
Logística y comunicación en un taller de vehículos : transporte y mantenimiento de vehículos ,"Casanova Arribas, Rubén",621.7 Cas,Ciclos formativos (Paraninfo),9788497328456
Manual de prácticas de soldadura con electrodo revestido ,"Mancheño, Manuel",621.79 Man,,9788428325738
Armas de fuego : militares y deportivas del siglo XX , ,623.4 Arm,,9788499280028
Armas biológicas : una historia de grandes engaños y errores ,"Pita, René",623.4 Pit,,9788415271116
L'Arnès del cavaller : armes i armadures catalanes medievals ,"Riquer, Martí de, 1914-2013",623.4 Riq,,9788482641843
Historia ilustrada del armamento ,"Wills, Chuck",623.4 Wil,,9788466225083
Atlas ilustrado de trenes y ferrocarriles del mundo ,"Holland, Julian",625.1 Atl,,9788467709575
"El Llibre dels camins : manual per esvair dubtes, desfer mites i reivindicar drets ","Campillo i Besses, Xavier",625.7 Cam,,9788492839773
"Els Molins hidràulics : moldre, batanar, esmolar, fer pólvora ","Roma i Casanovas, Francesc",626 Rom,El Tinter   155,9788490348345
Los Caminos del reciclaje ,"Manuel, Virginie",628.2 Man,Proyecto natur,9788418273421
La Bicicleta, ,629.11 Bic,Atlas ilustrado,9788467749144
Seguro en moto : las claves de la seguridad para el motorista urbano ,"Campsolinas Dresaire, Joan",629.11 Cam,,9788428216180
Todo lo que debes saber sobre el coche eléctrico ,"Catalá, Javier",629.11 Cat,,9788491344889
Coches exclusivos : los mejores coches modernos del siglo XX  , ,629.11 Coc,,9788466220996
"Automóviles legendarios : modelos que han hecho historia, desde los comienzos hasta el siglo XXI ","Edsall, Larry",629.11 Eds,LU ilustrado,9788492736553
Aprende a reparar tu moto ,"Everitt, Charles",629.11 Eve,,9788448068738
Atlas ilustrado del 600 ,"Feliu, José",629.11 Fel,Vehículos de siempre   9,9788430560721
"Manual del ciclista urbano : la guía más completa para montar, ajustar y personalizar tu bici y moverte a tu aire por la ciudad ","Haine, Charles",629.11 Hai,Libros Cúpula,9788448069032
Electricidad del vehículo , ,629.11 Mar,FPB Formación profesional básica,9788428335843
Mecanizado básico para electromecánica , ,629.11 Mec,Ciclos formativos (Paraninfo),9788497327664
El Vehículo eléctrico y su infraestructura de carga ,"Molero Piñeiro, Eva",629.11 Mol,,9788426719096
Tecnología del automóvil ,"Orovio Astudillo, Manuel",629.11 Oro,,9788428332101
Sistemas auxiliares del motor : transporte y mantenimiento de vehículos : electromecànica de vehículos automóviles ,"Pérez Belló, Miguel Ángel",629.11 Per,Ciclos formativos (Paraninfo),9788497328630
Pintado de vehículos , ,629.11 Pin,,9788497329880
Preparación de superficies , ,629.11 Pre,FPB Formación profesional básica,9788428335836
Protección de superficies , ,629.11 Pro,,9788497329866
Sistemas eléctricos y de seguridad y confortabilidad ,"Ros Marín, Joan Antoni",629.11 Ros,Ciclos formativos (Paraninfo),9788497328906
